Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11, C21, C22, C23, C25, C3, C32, C4, C9",0402,10,"100nF, 16v",C1525
"C12, C14, C20, C7",0805,4,"10uF, 16v",C15850
"C13, C18, C19",0402,3,"220nF, 16v",C16772
C15,0402,1,"1uf, 16v",C52923
"C17, C6",0603,2,"47nF, 16v",C1622
"C2, C24",0603,2,"2.2uf, 16v",C23630
C26,0603,1,"4.7uF, 16v",C19666
"C27, C28",1206,2,"22uf, 16v CL31A226MOCLNN",C159758
"C29, C30",0402,2,100pF,C1546
C31,0603,1,"10uF, 16v",C96446
C33,0402,1,"2.2uF, 16v",C12530
C40,0603,1,"100nF, 16v",C14663
C5,0402,1,"1nF, 16v",C1523
"D1, D2, D3",0402,3,GSDH3005,C2837790
D11,CDDFN103324P,1,CDDFN10-3324P,C913227
D4,0603,1,2.6~3.1 Fv Green 5ma,C3028858
J10,USB_C_G-Switch_GT-USB-7025-JLCPCBv,1,G-Switch-GT-USB-7025,C963213
J2,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,1,JST XH-S Balance Plug,C161860
L2,L_Bourns_SDR0604,1,6.8uH HPC HPC5040NF-6R8M,C357072
L3,1008,1,"2.2uH, WIP322512A-2R2MLDG",C5832372
"Q1, Q2, Q4, Q5",SC-59,4,"PJA3430, or HL 2320A",C7437078
"Q3, Q6",PQFN-8-EP_6x5mm_P1.27mm_Generic,2,"Vishay sir404dp, or SiR500DP",C3289487
R1,1206,1,"10mOhm, 1W",C473031
"R10, R7, R8",0402,3,4.02k,C43251
"R11, R20, R23, R24, R29",0402,5,10k,C25744
"R12, R15, R16, R17, R21, R22",0402,6,10ohm,C25077
R14,2512,1,"1mOhm, 6W",C19270875
R18,R_Vishay_2818,1,"5mOhm, 10W, 2818",C2090564
"R19, R33, R6",0402,3,5.1k,C25905
R2,0805,1,2ohm,C17521
R25,0402,1,80.6 ohm,C185392
"R26, R27, R28",0402,3,120 ohm,C25079
"R3, R4, R5",0402,3,100ohm,C25076
"R30, R31",0402,2,866k,C137931
R9,0805,1,10ohm,C17415
U1,VQFN20_RGR_TEX,1,BQ76905RGRR,C22394458
U2,TSOT-23-6,1,AP63203WU,C780769
U3,RUY0028A,1,BQ24780SRUYR,C882400
U6,QFN-28-1EP_4x4mm_P0.4mm_EP2.8x2.8mm,1,CH32X035G8U6,C7437027
U7,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,TPS7A2633DRV,C2876256
